_key,player_id,player_name,age_start,year_start,year_end,last_name
AikmTr00,AikmTr00,Troy Aikman,23,1989,2000,Aikman
AlbeFr00,AlbeFr00,Frankie Albert,30,1950,1952,Albert
AlleJo02,AlleJo02,Josh Allen,22,2018,2021,Allen
AlleKy00,AlleKy00,Kyle Allen,22,2018,2021,Allen
AndeDe00,AndeDe00,Derek Anderson,23,2006,2018,Anderson
AndeKe00,AndeKe00,Ken Anderson,22,1971,1986,Anderson
ArchDa00,ArchDa00,David Archer,22,1984,1989,Archer
AvelBo00,AvelBo00,Bob Avellini,22,1975,1984,Avellini
BankTo00,BankTo00,Tony Banks,23,1996,2005,Banks
BartSt00,BartSt00,Steve Bartkowski,23,1975,1986,Bartkowski
BatcCh00,BatcCh00,Charlie Batch,24,1998,2012,Batch
BerrBo00,BerrBo00,Bob Berry,23,1965,1975,Berry
BeueSt00,BeueSt00,Steve Beuerlein,23,1988,2003,Beuerlein
BlacTo00,BlacTo00,Todd Blackledge,22,1983,1989,Blackledge
BlakJe00,BlakJe00,Jeff Blake,22,1992,2005,Blake
BlanGe00,BlanGe00,George Blanda,23,1950,1975,Blanda
BledDr00,BledDr00,Drew Bledsoe,21,1993,2006,Bledsoe
BollKy00,BollKy00,Kyle Boller,22,2003,2011,Boller
BonoSt00,BonoSt00,Steve Bono,23,1985,1999,Bono
BortBl00,BortBl00,Blake Bortles,22,2014,2019,Bortles
BoryMi00,BoryMi00,Mike Boryla,23,1974,1978,Boryla
BradSa00,BradSa00,Sam Bradford,23,2010,2018,Bradford
BradTe00,BradTe00,Terry Bradshaw,22,1970,1983,Bradshaw
BradTo00,BradTo00,Tom Brady,23,2000,2021,Brady
BratZe00,BratZe00,Zeke Bratkowski,23,1954,1971,Bratkowski
BreeDr00,BreeDr00,Drew Brees,22,2001,2020,Brees
BridTe00,BridTe00,Teddy Bridgewater,22,2014,2021,Bridgewater
BrisBu00,BrisBu00,Bubby Brister,24,1986,2000,Brister
BrisJa00,BrisJa00,Jacoby Brissett,24,2016,2021,Brissett
BrodJo00,BrodJo00,John Brodie,22,1957,1973,Brodie
BrooAa00,BrooAa00,Aaron Brooks,24,2000,2006,Brooks
BrowDa00,BrowDa00,Dave Brown,22,1992,2000,Brown
BrowEd01,BrowEd01,Ed Brown,26,1954,1965,Brown
BrunMa00,BrunMa00,Mark Brunell,24,1994,2011,Brunell
BrunSc00,BrunSc00,Scott Brunner,23,1980,1985,Brunner
BukiRu00,BukiRu00,Rudy Bukich,23,1953,1968,Bukich
BulgMa00,BulgMa00,Marc Bulger,25,2002,2009,Bulger
BurkAd00,BurkAd00,Adrian Burk,23,1950,1956,Burk
BurrJo01,BurrJo01,Joe Burrow,24,2020,2021,Burrow
CampJa00,CampJa00,Jason Campbell,25,2006,2014,Campbell
CarlCo00,CarlCo00,Cody Carlson,25,1988,1994,Carlson
CarrDa00,CarrDa00,David Carr,23,2002,2012,Carr
CarrDe02,CarrDe02,Derek Carr,23,2014,2021,Carr
CartQu00,CartQu00,Quincy Carter,24,2001,2004,Carter
CartVi00,CartVi00,Virgil Carter,23,1968,1976,Carter
CassMa00,CassMa00,Matt Cassel,23,2005,2018,Cassel
CavaMa00,CavaMa00,Matt Cavanaugh,23,1979,1989,Cavanaugh
ChanCh00,ChanCh00,Chris Chandler,23,1988,2004,Chandler
ClemKe00,ClemKe00,Kellen Clemens,23,2006,2017,Clemens
CollKe00,CollKe00,Kerry Collins,23,1995,2011,Collins
CollTo00,CollTo00,Todd Collins,24,1995,2010,Collins
ConcJa00,ConcJa00,Jack Concannon,21,1964,1975,Concannon
ConeCh00,ConeCh00,Charlie Conerly,29,1950,1961,Conerly
CoucTi00,CoucTi00,Tim Couch,22,1999,2003,Couch
CousKi00,CousKi00,Kirk Cousins,24,2012,2021,Cousins
CulpDa00,CulpDa00,Daunte Culpepper,23,2000,2009,Culpepper
CunnRa00,CunnRa00,Randall Cunningham,22,1985,2001,Cunningham
CuozGa00,CuozGa00,Gary Cuozzo,22,1963,1972,Cuozzo
CutlJa00,CutlJa00,Jay Cutler,23,2006,2017,Cutler
DaltAn00,DaltAn00,Andy Dalton,24,2011,2021,Dalton
DaniGa00,DaniGa00,Gary Danielson,26,1977,1988,Danielson
DarnSa00,DarnSa00,Sam Darnold,21,2018,2021,Darnold
DawsLe00,DawsLe00,Len Dawson,22,1957,1975,Dawson
DebeSt00,DebeSt00,Steve DeBerg,24,1978,1998,DeBerg
DelhJa00,DelhJa00,Jake Delhomme,24,1999,2011,Delhomme
DetmTy00,DetmTy00,Ty Detmer,26,1993,2001,Detmer
DickLy00,DickLy00,Lynn Dickey,22,1971,1985,Dickey
